pearsons_correlation,Metadata_treatment,reference,Metadata_Pathway
0.2324247557814994,UCD-0159256,Healthy,Apoptosis
0.3764098387852026,UCD-0159256,Healthy,Apoptosis
0.2643344823918608,UCD-0159256,Healthy,Apoptosis
0.38500205784409824,UCD-0159256,Healthy,Apoptosis
0.4176689967140493,UCD-0159256,Healthy,Apoptosis
0.3427315586154916,UCD-0159256,Healthy,Apoptosis
0.2894086227303368,UCD-0159256,Healthy,Apoptosis
0.3875362189381256,UCD-0159256,Healthy,Apoptosis
0.4142289687173055,UCD-0159256,Healthy,Apoptosis
0.34582155318583047,UCD-0159256,Healthy,Apoptosis
0.27398979620564223,UCD-0159256,Healthy,Apoptosis
0.38345602991200045,UCD-0159256,Healthy,Apoptosis
0.34781601965379794,UCD-0159256,Healthy,Apoptosis
0.5333452461446032,UCD-0159256,Healthy,Apoptosis
0.44683842777254845,UCD-0159256,Healthy,Apoptosis
0.4084068786785306,UCD-0159256,Healthy,Apoptosis
0.45257262360872724,UCD-0159256,Healthy,Apoptosis
0.6460006477381208,UCD-0159257,Healthy,DNA Damage
0.6392069302872803,UCD-0159257,Healthy,DNA Damage
0.5964117717064555,UCD-0159257,Healthy,DNA Damage
0.6200366736620918,UCD-0159257,Healthy,DNA Damage
0.6855196621100227,UCD-0159257,Healthy,DNA Damage
0.6926472417871324,UCD-0159257,Healthy,DNA Damage
0.6356867865370321,UCD-0159257,Healthy,DNA Damage
0.6593079635768839,UCD-0159257,Healthy,DNA Damage
0.6769285526453677,UCD-0159257,Healthy,DNA Damage
0.7289609674651417,UCD-0159257,Healthy,DNA Damage
0.6700090937627772,UCD-0159257,Healthy,DNA Damage
0.6730757850589877,UCD-0159257,Healthy,DNA Damage
0.625695964452081,UCD-0159257,Healthy,DNA Damage
0.6927554527227191,UCD-0159257,Healthy,DNA Damage
0.6910872825037162,UCD-0159257,Healthy,DNA Damage
0.6168420955188116,UCD-0159257,Healthy,DNA Damage
0.604271937195841,UCD-0159257,Healthy,DNA Damage
0.6372961974590079,UCD-0159257,Healthy,DNA Damage
0.6147547838963098,UCD-0159257,Healthy,DNA Damage
0.5613904753268377,UCD-0159257,Healthy,DNA Damage
0.6744437636066484,UCD-0159257,Healthy,DNA Damage
0.6892724461864442,UCD-0159257,Healthy,DNA Damage
0.5934155201226433,UCD-0159257,Healthy,DNA Damage
0.5904949973212222,UCD-0159257,Healthy,DNA Damage
0.6609883155672361,UCD-0159257,Healthy,DNA Damage
0.6826514738985655,UCD-0159257,Healthy,DNA Damage
0.6218665556790343,UCD-0159257,Healthy,DNA Damage
0.6350627194685229,UCD-0159257,Healthy,DNA Damage
0.4787964221974918,UCD-0159257,Healthy,DNA Damage
0.5296126931626007,UCD-0159257,Healthy,DNA Damage
0.4469111121280432,UCD-0159257,Healthy,DNA Damage
0.407694920479104,UCD-0159257,Healthy,DNA Damage
0.6618360788993712,UCD-0159257,Healthy,DNA Damage
0.708723503733774,UCD-0159257,Healthy,DNA Damage
0.696348752419368,UCD-0159257,Healthy,DNA Damage
0.7710476457643616,UCD-0159257,Healthy,DNA Damage
0.6056390922651617,UCD-0159257,Healthy,DNA Damage
