Catalog Number,UCD ID,Product Name,Original Plate,Original Well,New Plate,New Well,MW,CAS Number,Target,Information,Pathway
S7975,UCD-0159620,Favipiravir (T-705),L2000-07,A05,L2000-10,C11,157.1,259793-96-9,DNA/RNA Synthesis,"Favipiravir (T-705) is a potent and selective <b>RNA-dependent RNA polymerase</b> inhibitor, used to treat influenza virus infections.
",DNA Damage
S8022,UCD-0159628,Empagliflozin (BI 10773),L2000-07,A06,L2000-10,D02,450.91,864070-44-0,SGLT,"Empagliflozin (BI-10773) is a potent and selective SGLT-2 inhibitor with IC50 of 3.1 nM, exhibits >300-fold selectivity over SGLT-1, 4, 5 and 6. Phase 3.",GPCR & G Protein
S8042,UCD-0159636,GW2580,L2000-07,A07,L2000-10,D03,366.41,870483-87-7,CSF-1R,"GW2580 is a selective CSF-1R inhibitor for c-FMS with IC50 of 30 nM, 150- to 500-fold selective compared to b-Raf, CDK4, c-KIT, c-SRC, EGFR, ERBB2/4, ERK2, FLT-3, GSK3, ITK, JAK2 etc.",Protein Tyrosine Kinase
S8094,UCD-0159644,GlyH-101,L2000-07,A08,L2000-10,D04,493.15,328541-79-3,CFTR,GlyH-101 is a selective and reversible CFTR inhibitor with Ki of 4.3 μM.,Transmembrane Transporters
S8124,UCD-0159650,BMS-582949 ,L2000-07,A09,L2000-10,D05,406.48,623152-17-0,p38 MAPK,"BMS-582949 is a potent and selective p38 mitogen-activated protein kinase (p38 MAPK) inhibitor with IC50 of 13nM,inhibiting both p38 kinase activity and activation of p38.",MAPK
S8202,UCD-0159658,PF-06447475,L2000-07,A10,L2000-10,D06,305.33,1527473-33-1,LRRK2,"PF-06447475 is a potent, selective, and brain penetrant LRRK2 kinase inhibitor with IC50 of 3 nM.",Autophagy
S7843,UCD-0159599,BI-847325,L2000-07,B02,L2000-10,D07,464.56,1207293-36-4,"MEK,Aurora Kinase","BI-847325 is an orally bioavailable, and selective dual <b>MEK/Aurora kinase</b> inhibitor with <b>IC50</b> of 3 nM, 25 nM, 15 nM, 25 nM, and 4 nM for Xenopus laevis Aurora B, human Aurora A and Aurora C, as well as human MEK1 and MEK2, respectively. Phase 1.",MAPK
S7888,UCD-0159606,Spautin-1,L2000-07,B03,L2000-10,D08,271.26,1262888-28-7,Autophagy,"Spautin-1 is a potent and specific <b>autophagy</b> inhibitor, and inhibits the deubiquitinating activity of <b>USP10</b> and <b>USP13</b> with <b>IC50</b> of ∼0.6-0.7 μM. 
",Autophagy
S7938,UCD-0159613,GSK2292767,L2000-07,B04,L2000-10,D09,512.58,1254036-66-2,PI3K,GSK2292767 is a potent and selective PI3Kδ inhibitor.,PI3K/Akt/mTOR
S7980,UCD-0159621,VPS34-IN1,L2000-07,B05,L2000-10,D10,425.91,1383716-33-3,PI3K,"Vps34-IN1 is a potent and highly selective Vps34 inhibitor with IC50 of 25 nM invitro,which does not significantly inhibit the isoforms of class I as well as class II PI3Ks.",PI3K/Akt/mTOR
