Catalog Number,UCD ID,Product Name,Original Plate,Original Well,New Plate,New Well,MW,CAS Number,Target,Information,Pathway
DMSO,,DMSO,L2000-01,A01,L2000-01,B02,,,,,
S1001,UCD-0159256,Navitoclax (ABT-263),L2000-01,A02,L2000-01,B03,974.61,923564-51-6,Bcl-2,"ABT-263 (Navitoclax) is a potent inhibitor of Bcl-xL, Bcl-2 and Bcl-w with Ki of ≤ 0.5 nM, ≤1 nM and ≤1 nM, but binds more weakly to Mcl-1 and A1. Phase 1/2.",Apoptosis
S1033,UCD-0001766,Nilotinib (AMN-107),L2000-01,A03,L2000-01,B04,529.52,641571-10-0,Bcr-Abl,Nilotinib (AMN-107) is a Bcr-Abl inhibitor with IC50 less than 30 nM.,Angiogenesis
DMSO,,DMSO,L2000-01,B01,L2000-01,B05,,,,,
S1069,UCD-0159262,"Luminespib (AUY-922, NVP-AUY922)",L2000-01,A04,L2000-01,B06,465.54,747412-49-3,HSP (e.g. HSP90),"AUY922 (NVP-AUY922) is a highly potent HSP90 inhibitor for HSP90α/β with IC50 of 13 nM /21 nM, weaker potency against the HSP90 family members GRP94 and TRAP-1, exhibits the tightest binding of any small-molecule HSP90 ligand. Phase 1/2.",Others
S1092,UCD-0001915,KU-55933 (ATM Kinase Inhibitor),L2000-01,A05,L2000-01,B07,395.49,587871-26-9,ATM/ATR,"KU-55933 is a potent and specific ATM inhibitor with IC50/Ki of 12.9 nM/2.2 nM, and is highly selective for ATM as compared to DNA-PK, PI3K/PI4K, ATR and mTOR.",Others
DMSO,,DMSO,L2000-01,C01,L2000-01,B08,,,,,
S1109,UCD-0001783,BI 2536,L2000-01,A06,L2000-01,B09,521.66,755038-02-9,PLK,BI2536 is a potent Plk1 inhibitor with IC50 of 0.83 nM. It shows 4- and 11-fold greater selectivity against Plk2 and Plk3. Phase 2.,Others
S1141,UCD-0159279,Tanespimycin (17-AAG),L2000-01,A07,L2000-01,B10,585.69,75747-14-7,HSP (e.g. HSP90),"17-AAG is a potent HSP90 inhibitor with IC50 of 5 nM, having a 100-fold higher binding affinity for HSP90 derived from tumour cells than HSP90 from normal cells.",Others
DMSO,,DMSO,L2000-01,D01,L2000-01,B11,,,,,
S1174,UCD-0159283,MK-2866 (GTx-024),L2000-01,A08,L2000-01,C02,389.33,841205-47-8,Androgen Receptor,"MK-2866 (GTx-024) is a selective androgen receptor modulator (SARM) with Ki of 3.8 nM, and is tissue-selective for anabolic organs. Phase 3.",Endocrinology & Hormones
S1197,UCD-0001040,Finasteride,L2000-01,A09,L2000-01,C03,372.54,98319-26-7,5-alpha Reductase,Finasteride is an inhibitor of steroid Type II 5α-reductase.,Endocrinology & Hormones
S1260,UCD-0018091,Cinacalcet HCl,L2000-01,A10,L2000-01,C04,393.87,364782-34-3,CaSR,AMG-073 represents a new class of compounds for the treatment of hyperparathyroidism.,GPCR & G Protein
S1328,UCD-0000450,Etodolac ,L2000-01,A11,L2000-01,C05,287.35,41340-25-4,COX,Etodolac (Lodine) is a COX inhibitor with an IC50 of 53.5 nM.,Neuronal Signaling
S1004,UCD-0159257,Veliparib (ABT-888),L2000-01,B02,L2000-01,C06,244.29,912444-00-9,PARP,"Veliparib (ABT-888) is a potent inhibitor of PARP1 and PARP2 with Ki of 5.2 nM and 2.9 nM, respectively. It is inactive to SIRT2. Phase 1/2.",DNA Damage
S1036,UCD-0001810,PD0325901,L2000-01,B03,L2000-01,C07,482.19,391210-10-9,MEK,"PD0325901 (PD325901) is selective and non ATP-competitive MEK inhibitor with IC50 of 0.33 nM, roughly 500-fold more potent than CI-1040 on phosphorylation of ERK1 and ERK2. Phase 1/2.",DNA Damage
S1070,UCD-0159263,PHA-665752,L2000-01,B04,L2000-01,C08,641.61,477575-56-7,c-Met,"PHA-665752 is a potent, selective and ATP-competitive c-Met inhibitor with IC50 of 9 nM,  >50-fold selectivity for c-Met than RTKs or STKs.",Others
S1093,UCD-0159269,GSK1904529A,L2000-01,B05,L2000-01,C09,851.96,1089283-49-7,IGF-1R,"GSK1904529A is a selective inhibitor of IGF-1R and IR with IC50 of 27 nM and 25 nM, >100-fold more selective for IGF-1R/InsR than Akt1/2, Aurora A/B,B-Raf, CDK2, EGFR etc.",Others
S1110,UCD-0159273,Varespladib (LY315920),L2000-01,B06,L2000-01,C10,380.39,172732-68-2,Phospholipase (e.g. PLA),"LY315920 (Varespladib) is a potent and selective human non-pancreatic secretory phospholipase A2 (hnsPLA) inhibitor with IC50 of 7 nM,. Phase 3.",Others
S1144,UCD-0017907,Ivacaftor (VX-770),L2000-01,B07,L2000-01,C11,392.49,873054-44-5,CFTR,"Ivacaftor (VX-770) is a potentiator of CFTR targeting G551D-CFTR and F508del-CFTR with EC50 of 100 nM and 25 nM, respectively.",Others
S1180,UCD-0159284,XAV-939,L2000-01,B08,L2000-01,D02,312.31,284028-89-3,Wnt/beta-catenin,"XAV-939 selectively inhibits Wnt/β-catenin-mediated transcription through tankyrase1/2 inhibition with IC50 of 11 nM/4 nM, regulates axin levels and does not affect CRE, NF-κB or TGF-β.",Stem Cells &  Wnt
S1202,UCD-0017999,Dutasteride,L2000-01,B09,L2000-01,D03,528.53,164656-23-9,5-alpha Reductase,Dutasteride is a dual 5-α reductase inhibitor that inhibits conversion of testosterone to dihydrotestosterone (DHT).,Endocrinology & Hormones
S1261,UCD-0000721,Celecoxib,L2000-01,B10,L2000-01,D04,381.37,169590-42-5,COX,Celecoxib is a selective COX-2 inhibitor with IC50 of 40 nM.,Neuronal Signaling
S1329,UCD-0001014,Etomidate,L2000-01,B11,L2000-01,D05,244.29,33125-97-2,GABA Receptor,Etomidate is a GABAA receptors agonist at GABAA receptors.,Neuronal Signaling
S1007,UCD-0159258,Roxadustat (FG-4592),L2000-01,C02,L2000-01,D06,352.34,808118-40-3,HIF,"FG-4592 is an HIF α prolyl hydroxylase inhibitor, stabilizes HIF-2 and induces EPO production. Phase 2/3.",Angiogenesis
S1041,UCD-0159261,STF-62247,L2000-01,C03,L2000-01,D07,267.35,315702-99-9,Others,STF-62247 shows selective toxicity and growth inhibition of renal cells lacking VHL; 25-fold greater sensitivity observed for cells with VHL deficiency compared to wild-type (VHL+).,Others
S1071,UCD-0159264,HA14-1,L2000-01,C04,L2000-01,D08,409.23,65673-63-4,Bcl-2,HA14-1 is a non-peptidic ligand of a Bcl-2 surface pocket with IC50 of ~9 μM.,Neuronal Signaling
S1094,UCD-0001775,PF-04217903,L2000-01,C05,L2000-01,D09,372.38,956905-27-4,c-Met,"PF-04217903 is a selective ATP-competitive c-Met inhibitor with IC50 of 4.8 nM, susceptible to oncogenic mutations (no activity to Y1230C mutant). Phase 1.",Others
S1113,UCD-0159274,GSK690693,L2000-01,C06,L2000-01,D10,425.48,937174-76-0,Akt,"GSK690693 is a pan-Akt inhibitor targeting Akt1/2/3 with IC50 of 2 nM/13 nM/9 nM, also sensitive to the AGC kinase family: PKA, PrkX and PKC isozymes. Phase 1.",Others
S1145,UCD-0001792,SNS-032 (BMS-387032),L2000-01,C07,L2000-01,D11,380.53,345627-80-7,CDK,"SNS-032 has firstly been described as a selective inhibitor of CDK2 with IC50 of 48 nM and is 10- and 20-fold selective over CDK1/CDK4. It is also found to be sensitive to CDK7/9 with IC50 of 62 nM/4 nM, with little effect on CDK6. Phase 1.",Others
DMSO,,DMSO,L2000-01,E01,L2000-01,E02,,,,,
S1186,UCD-0159285,BIBR 1532,L2000-01,C08,L2000-01,E03,331.36,321674-73-1,Telomerase,"BIBR 1532 is a potent, selective, non-competitive telomerase inhibitor with IC50 of 100 nM.",DNA Damage
S1210,UCD-0159289,Methotrexate,L2000-01,C09,L2000-01,E04,454.44,59-05-2,DHFR,"Methotrexate is an antimetabolite and antifolate drug, which acts by inhibiting the metabolism of folic acid.",Metabolism
DMSO,,DMSO,L2000-01,F01,L2000-01,E05,,,,,
S1267,UCD-0018179,"Vemurafenib (PLX4032, RG7204)",L2000-01,C10,L2000-01,E06,489.92,918504-65-1,Raf,"Vemurafenib (PLX4032, RG7204) is a novel and potent inhibitor of B-RafV600E with IC50 of 31 nM.",MAPK
S1336,UCD-0001016,Fluvoxamine maleate,L2000-01,C11,L2000-01,E07,434.41,61718-82-9,5-HT Receptor,Fluvoxamine maleate is a selective serotonin (5-HT) reuptake inhibitor (SSRI).,Neuronal Signaling
DMSO,,DMSO,L2000-01,G01,L2000-01,E08,,,,,
S1008,UCD-0001804,Selumetinib (AZD6244),L2000-01,D02,L2000-01,E09,457.68,606143-52-6,MEK,"Selumetinib (AZD6244) is a potent, highly selective MEK1 inhibitor with IC50 of 14 nM, also inhibits ERK1/2 phosphorylation with IC50 of 10 nM, no inhibition to p38α, MKK6, EGFR, ErbB2, ERK2, B-Raf, etc. Phase 1/2.",MAPK
S1044,UCD-0018207,"Temsirolimus (CCI-779, NSC 683864)",L2000-01,D03,L2000-01,E10,1030.29,162635-04-3,mTOR,Temsirolimus (CCI-779) is a specific mTOR inhibitor with IC50 of 1.76 μM.,Neuronal Signaling
DMSO,,DMSO,L2000-01,H01,L2000-01,E11,,,,,
S1078,UCD-0001844,MK-2206 2HCl,L2000-01,D04,L2000-01,F02,480.39,1032350-13-2,Akt,"MK-2206 2HCl is a highly selective inhibitor of Akt1/2/3 with IC50 of 8 nM/12 nM/65 nM, respectively; no inhibitory activities against 250 other protein kinases observed. Phase 2.",Others
S1097,UCD-0159270,BTZ043 Racemate,L2000-01,D05,L2000-01,F03,431.39,957217-65-1,Others,BTZ043 racemate is a decaprenylphosphoryl-β-D-ribose 2'-epimerase (DprE1) inhibitor acting as a new antimycobacterial agent that kill Mycobacterium tuberculosis.,Others
S1115,UCD-0159275,Odanacatib (MK-0822),L2000-01,D06,L2000-01,F04,525.56,603139-19-1,Cysteine Protease,"Odanacatib (MK 0822) is a potent, selective, and neutral inhibitor of cathepsin K (human/rabbit) with IC50 of 0.2 nM/1 nM, and demonstrated high selectivity versus off-target cathepsin B, L, S. Phase 3.",Others
S1154,UCD-0001800,SNS-314 Mesylate,L2000-01,D07,L2000-01,F05,527.04,1146618-41-8,Aurora Kinase,"SNS-314 Mesylate is a potent and selective inhibitor of Aurora A, Aurora B and Aurora C with IC50 of 9 nM, 31 nM, and 3 nM, respectively. It is less potent to Trk A/B, Flt4, Fms, Axl, c-Raf and DDR2. Phase 1.",Others
S1188,UCD-0001613,Anastrozole,L2000-01,D08,L2000-01,F06,293.37,120511-73-1,Aromatase,Anastrozole is a third-generation nonsteroidal selective aromatase inhibitor.,Endocrinology & Hormones
S1216,UCD-0001921,PFI-1 (PF-6405761),L2000-01,D09,L2000-01,F07,347.39,1403764-72-6,Epigenetic Reader Domain,PFI-1 is a selective BET (bromodomain-containing protein) inhibitor for BRD4 with IC50 of 0.22 μM.,Epigenetics
S1275,UCD-0159290,BX-912,L2000-01,D10,L2000-01,F08,471.35,702674-56-4,PDK,"BX912 is a potent and specific PDK1 inhibitor with IC50 of 12 nM, 9- and 105- fold greater selectivity for PDK1 than PKA and PKC, respectively. In comparison to GSK3β, selectivity for PDK1 is 600-fold.",PI3K/Akt/mTOR
S1343,UCD-0159293,Ginkgolide B,L2000-01,D11,L2000-01,F09,424.40,15291-77-7,PAFR,Ginkgolide B is a PAFR antagonist with IC50 of 3.6 μM.,Others
S1020,UCD-0001808,PD184352 (CI-1040),L2000-01,E02,L2000-01,F10,478.67,212631-79-3,MEK,"CI-1040 (PD 184352) is an ATP non-competitive MEK1/2 inhibitor with IC50 of 17 nM, 100-fold more selective for MEK1/2 than MEK5. Phase 2.",MAPK
S1048,UCD-0001801,"Tozasertib (VX-680, MK-0457)",L2000-01,E03,L2000-01,F11,464.59,639089-54-6,Aurora Kinase,"VX-680 (Tozasertib, MK-0457) is a pan-Aurora inhibitor, mostly against Aurora A with Kiapp of 0.6 nM, less potent towards Aurora B/Aurora C and 100-fold more selective for Aurora A than 55 other kinases. Phase 2.",Endocrinology & Hormones
S1080,UCD-0159265,SU11274,L2000-01,E04,L2000-01,G02,568.09,658084-23-2,c-Met,"SU11274 is a selective Met inhibitor with IC50 of 10 nM, no effects on PGDFRβ, EGFR or Tie2.",Neuronal Signaling
S1100,UCD-0159271,MLN8054,L2000-01,E05,L2000-01,G03,476.86,869363-13-3,Aurora Kinase,MLN8054 is a potent and selective inhibitor of Aurora A with IC50 of 4 nM. It is more than 40-fold selective for Aurora A than Aurora B. Phase 1.,Others
S1120,UCD-0001835,Everolimus (RAD001),L2000-01,E06,L2000-01,G04,958.22,159351-69-6,mTOR,Everolimus (RAD001) is an mTOR inhibitor of FKBP12 with IC50 of 1.6-2.4 nM.,Others
S1155,UCD-0159280,S3I-201,L2000-01,E07,L2000-01,G05,365.36,501919-59-1,STAT,"S3I-201 shows potent inhibition of STAT3 DNA-binding activity with IC50 of 86 μM, and low activity towards STAT1 and STAT5.",Others
S1189,UCD-0159286,Aprepitant,L2000-01,E08,L2000-01,G06,534.43,170729-80-3,Substance P,Aprepitant is a potent and selective neurokinin-1 receptor antagonist.,Others
S1233,UCD-0018131,2-Methoxyestradiol (2-MeOE2),L2000-01,E09,L2000-01,G07,302.41,362-07-2,HIF,2-Methoxyestradiol depolymerizes microtubules and blocks HIF-1α nuclear accumulation and HIF-transcriptional activity. Phase 2.,Angiogenesis
S1281,UCD-0001024,Aniracetam,L2000-01,E10,L2000-01,G08,219.24,72432-10-1,AMPA Receptor-kainate Receptor-NMDA Receptor,Aniracetam is a nootropics and neuroprotective drug.,Neuronal Signaling
S1352,UCD-0001829,TG100-115,L2000-01,E11,L2000-01,G09,346.34,677297-51-7,PI3K,"TG100115 is a PI3Kγ/δ inhibitor with IC50 of 83 nM/235 nM, with little effect on PI3Kα/β. Phase 1/2.",PI3K/Akt/mTOR
S1022,UCD-0159259,"Ridaforolimus (Deforolimus, MK-8669)",L2000-01,F02,L2000-01,G10,990.21,572924-54-0,mTOR,"Ridaforolimus (Deforolimus, MK-8669) is a selective mTOR inhibitor with IC50 of 0.2 nM in HT-1080 cell line; while not classified as a prodrug, mTOR inhibition and FKBP12 binding is similar to rapamycin. Phase 3.",PI3K/Akt/mTOR
S1055,UCD-0001842,Enzastaurin (LY317615),L2000-01,F03,L2000-01,G11,515.61,170364-57-5,PKC,"Enzastaurin (LY317615) is a potent PKCβ selective inhibitor with IC50 of 6 nM, 6- to 20-fold selectivity against PKCα, PKCγ and PKCε. Phase 3.",Neuronal Signaling
DMSO,,DMSO,L2000-01,A12,L2000-02,B02,,,,,
S1087,UCD-0159266,Iniparib (BSI-201),L2000-01,F04,L2000-02,B03,292.03,160003-66-7,PARP,"BSI-201 (Iniparib, SAR240550) is a PARP1 inhibitor with demonstrated effectiveness in triple-negative breast cancer (TNBC). Phase 3.",Others
S1102,UCD-0001812,U0126-EtOH,L2000-01,F05,L2000-02,B04,426.56,1173097-76-1,MEK,"U0126-EtOH is a highly selective inhibitor of MEK1/2 with IC50 of 0.07 μM/0.06 μM, 100-fold higher affinity for ΔN3-S218E/S222D MEK than PD098059.",Others
DMSO,,DMSO,L2000-01,B12,L2000-02,B05,,,,,
S1129,UCD-0159276,SRT1720 HCl,L2000-01,F06,L2000-02,B06,506.02,1001645-58-4,Sirtuin,"SRT1720 is a selective SIRT1 activator with EC50 of 0.16 μM, but is >230-fold less potent for SIRT2 and SIRT3. ",Others
S1157,UCD-0159281,Delanzomib (CEP-18770),L2000-01,F07,L2000-02,B07,413.28,847499-27-8,Proteasome,"CEP-18770 is an orally active inhibitor of the chymotrypsin-like activity of proteasome with IC50 of 3.8 nM, with only marginal inhibition of the tryptic and peptidylglutamyl activities of the proteosome. Phase 1/2.",Others
DMSO,,DMSO,L2000-01,C12,L2000-02,B08,,,,,
S1191,UCD-0159287,Fulvestrant,L2000-01,F08,L2000-02,B09,606.77,129453-61-8,Estrogen/progestogen Receptor,Fulvestrant is an estrogen receptor (ER) antagonist with IC50 of 0.094 nM.,Endocrinology & Hormones
S1235,UCD-0000849,Letrozole,L2000-01,F09,L2000-02,B10,285.30,112809-51-5,Aromatase,Letrozole is a third generation inhibitor of aromatase with IC50 of 0.07-20 nM.,Endocrinology & Hormones
DMSO,,DMSO,L2000-01,D12,L2000-02,B11,,,,,
S1315,UCD-0159291,Ki16425,L2000-01,F10,L2000-02,C02,474.96,355025-24-0,LPA Receptor,"Ki16425 is a competitive, potent and reversible antagonist to LPA1, LPA2 and LPA3 with Ki of 0.34 μM, 6.5 μM and 0.93 μM, respectively, shows no activity at LPA4, LPA5, LPA6.",GPCR & G Protein
S1357,UCD-0000421,Lidocaine,L2000-01,F11,L2000-02,C03,234.34,137-58-6,Histamine Receptor,Lidocaine is a selective inverse peripheral histamine H1-receptor agonist with an IC50 of >32 μM.,Neuronal Signaling
S1029,UCD-0017947,Lenalidomide (CC-5013),L2000-01,G02,L2000-02,C04,259.26,191732-72-6,TNF-alpha,Lenalidomide (CC-5013) is a TNF-α secretion inhibitor with IC50 of 13 nM.,Apoptosis
S1065,UCD-0001816,Pictilisib (GDC-0941),L2000-01,G03,L2000-02,C05,513.64,957054-30-7,PI3K,"GDC-0941 is a potent inhibitor of PI3Kα/δ with IC50 of 3 nM, with modest selectivity against p110β (11-fold) and p110γ (25-fold).",Metabolism
S1089,UCD-0159267,"Refametinib (RDEA119, Bay 86-9766)",L2000-01,G04,L2000-02,C06,572.34,923032-37-5,MEK,"Refametinib (RDEA119, Bay 86-9766) is a potent, ATP non-competitive and highly selective inhibitor of MEK1 and MEK2 with IC50 of 19 nM and 47 nM, respectively.",Others
S1103,UCD-0001802,ZM 447439,L2000-01,G05,L2000-02,C07,513.59,331771-20-1,Aurora Kinase,"ZM 447439 is a selective and ATP-competitive inhibitor for Aurora A and Aurora B with IC50 of 110 nM and 130 nM, respectively. It is more than 8-fold selective for Aurora A/B than MEK1, Src, Lck and has little effect againstCDK1/2/4, Plk1, Chk1, etc.",Others
S1130,UCD-0159277,YM155 (Sepantronium Bromide),L2000-01,G06,L2000-02,C08,443.29,781661-94-7,Survivin,"YM155 is a potent survivin suppressant by inhibiting Survivin promoter activity with IC50 of 0.54 nM; does not significantly inhibit SV40 promoter activity, but is observed to slightly inhibit the interaction of Survivin with XIAP. Phase 1/2.",Others
S1159,UCD-0159282,Ganetespib (STA-9090),L2000-01,G07,L2000-02,C09,364.40,888216-25-9,HSP (e.g. HSP90),"Ganetespib is an HSP90 inhibitor with IC50 of 4 nM in OSA 8 cells, induces apoptosis of OSA cells while normal osteoblasts are not affected; active metabolite of STA-1474.",Others
S1195,UCD-0159288,TAK-700 (Orteronel),L2000-01,G08,L2000-02,C10,307.35,566939-85-3,P450 (e.g. CYP17),"TAK-700 (Orteronel) is a potent and highly selective human 17,20-lyase inhibitor with IC50 of 38 nM, exhibits >1000-fold selectivity over other CYPs (e.g. 11-hydroxylase and CYP3A4). Phase 3.",Metabolism
S1250,UCD-0018089,Enzalutamide (MDV3100),L2000-01,G09,L2000-02,C11,464.44,915087-33-1,Androgen Receptor,Enzalutamide (MDV3100) is an androgen-receptor (AR) antagonist with IC50 of 36 nM.,Endocrinology & Hormones
S1319,UCD-0159292,Costunolide,L2000-01,G10,L2000-02,D02,232.32,553-21-9,Telomerase,"Costunolide, a natural sesquiterpene compound with multiple biological activities; inhibits FPTase with IC50 of 20 μM, also inhibits telomerase with IC50 of 65-90 μM.",DNA Damage
S1362,UCD-0159294,Rigosertib (ON-01910),L2000-01,G11,L2000-02,D03,473.47,1225497-78-8,PLK,Rigosertib (ON-01910) is a non-ATP-competitive inhibitor of PLK1 with IC50 of 9 nM. It shows 30-fold greater selectivity against Plk2 and no activity to Plk3. Phase 3.,Cell Cycle
S1030,UCD-0159260,Panobinostat (LBH589),L2000-01,H02,L2000-02,D04,349.43,404950-80-7,HDAC,Panobinostat (LBH589) is a novel broad-spectrum HDAC inhibitor with IC50 of 5 nM. Phase 3.,Epigenetics
S1067,UCD-0001850,SB431542,L2000-01,H03,L2000-02,D05,384.39,301836-41-9,TGF-beta/Smad,"SB431542 is a potent and selective inhibitor of ALK5 with IC50 of 94 nM, 100-fold more selective for ALK5 than p38 MAPK and other kinases.",Others
S1091,UCD-0159268,Linsitinib (OSI-906),L2000-01,H04,L2000-02,D06,421.49,867160-71-2,IGF-1R,"OSI-906 (Linsitinib) is a selective inhibitor of IGF-1R with IC50 of 35 nM; modestly potent to InsR with IC50 of 75 nM, and no activity towards Abl, ALK, BTK, EGFR, FGFR1/2, PKA etc. Phase 3.",Others
S1106,UCD-0159272,OSU-03012 (AR-12),L2000-01,H05,L2000-02,D07,460.45,742112-33-0,PDK,OSU-03012 is a potent inhibitor of recombinant PDK-1 with IC50 of 5 μM and 2-fold increase in potency over OSU-02067.,Others
S1139,UCD-0159278,ADL5859 HCl,L2000-01,H06,L2000-02,D08,428.95,850173-95-4,Opioid Receptor,"ADL5859 HCl is a δ-opioid receptor agonist with Ki of 0.8 nM, selectivity against opioid receptor κ, μ, and weak inhibitory activity at the hERG channel. Phase 2.",Others
S1173,UCD-0001733,WZ4002,L2000-01,H07,L2000-02,D09,494.18,1213269-23-8,EGFR,"WZ4002 is a novel, mutant-selective EGFR inhibitor for EGFR(L858R)/(T790M) with IC50 of 2 nM/8 nM; does not inhibit ERBB2 phosphorylation (T798I).",Protein Tyrosine Kinase
S1196,UCD-0001086,Exemestane,L2000-01,H08,L2000-02,D10,296.40,107868-30-4,Aromatase,"Exemestane is an aromatase inhibitor, inhibits human placental and rat ovarian aromatase with IC50 of 30 nM and 40 nM, respectively.",Endocrinology & Hormones
S1259,UCD-0000786,Ramelteon,L2000-01,H09,L2000-02,D11,259.34,196597-26-9,MT Receptor,"Ramelteon is a novel melatonin receptor agonist for human MT1 and MT2 receptors and chick forebrain melatonin receptors with Ki of 14 pM, 112 pM and 23.1 pM, respectively.",GPCR & G Protein
DMSO,,DMSO,L2000-01,E12,L2000-02,E02,,,,,
S1324,UCD-0001101,Doxazosin Mesylate,L2000-01,H10,L2000-02,E03,547.58,77883-43-3,Adrenergic Receptor,Doxazosin mesylate is an alpha-1 adrenergic receptor blocker.,Neuronal Signaling
S1366,UCD-0159295,BMS-707035,L2000-01,H11,L2000-02,E04,410.42,729607-74-3,Integrase,BMS-707035 is a specific HIV-I integrase (IN) inhibitor with IC50 of 15 nM. Phase 2.,Microbiology
DMSO,,DMSO,L2000-02,A01,L2000-02,E05,,,,,
S1378,UCD-0018083,Ruxolitinib (INCB018424),L2000-02,A02,L2000-02,E06,306.37,941678-49-5,JAK,"INCB018424 is the first potent, selective, JAK1/2 inhibitor to enter the clinic with IC50 of 3.3 nM/2.8 nM, >130-fold selectivity for JAK1/2 versus JAK3. Phase 3.",JAK/STAT
S1460,UCD-0001822,SP600125,L2000-02,A03,L2000-02,E07,220.23,129-56-6,JNK,"SP600125 is a broad-spectrum JNK inhibitor for JNK1, JNK2 and JNK3 with IC50 of 40 nM, 40 nM and 90 nM, respectively; 10-fold greater selectivity against MKK4, 25-fold greater selectivity against MKK3, MKK6, PKB, and PKCα, and 100-fold selectivity against ERK2, p38, Chk1, EGFR etc.",MAPK
DMSO,,DMSO,L2000-02,B01,L2000-02,E08,,,,,
S1526,UCD-0001759,Quizartinib (AC220),L2000-02,A04,L2000-02,E09,560.67,950769-58-1,FLT3,"Quizartinib (AC220) is a second-generation FLT3 inhibitor for Flt3(ITD/WT) with IC50 of 1.1 nM/4.2 nM, 10-fold more selective for Flt3 than KIT, PDGFRα, PDGFRβ, RET, and CSF-1R. Phase 1/2.",Angiogenesis
S1548,UCD-0000533,Dapagliflozin,L2000-02,A05,L2000-02,E10,408.87,461432-26-8,SGLT,"Dapagliflozin is a potent and selective hSGLT2 inhibitor with EC50 of 1.1 nM, exhibiting 1200-fold selectivity over hSGLT1. Phase 3.",GPCR & G Protein
DMSO,,DMSO,L2000-02,C01,L2000-02,E11,,,,,
S1593,UCD-0000295,Apixaban,L2000-02,A06,L2000-02,F02,459.50,503612-47-3,Factor Xa,"Apixaban is a highly selective, reversible inhibitor of Factor Xa with Ki of 0.08 nM and 0.17 nM in human and rabbit, respectively.",Metabolism
S1885,UCD-0001580,Felodipine ,L2000-02,A07,L2000-02,F03,384.25,72509-76-3,Calcium Channel,Felodipine is a selective L-type Ca2+ channel blocker with IC50 of 0.15 nM.,Transmembrane Transporters
S2013,UCD-0159317,PF-573228,L2000-02,A08,L2000-02,F04,491.49,869288-64-2,FAK,"PF-573228 is an ATP-competitive inhibitor of FAK with IC50 of 4 nM, ~50- to 250-fold selective for FAK than Pyk2, CDK1/7 and GSK-3β.",Angiogenesis
S2065,UCD-0018516,Lafutidine,L2000-02,A09,L2000-02,F05,431.55,118288-08-7,Histamine Receptor,"Lafutidine, a newly developed histamine H(2)-receptor antagonist, inhibits gastric acid secretion.",Neuronal Signaling
S2109,UCD-0018304,Imidapril HCl,L2000-02,A10,L2000-02,F06,441.91,89371-37-9,RAAS,"Imidapril HCl is a angiotensin-converting enzyme (ACE) inhibitor with IC50 of 2.6 nM, used for the treatment of hypertension.",Endocrinology & Hormones
S2178,UCD-0159327,AG-14361,L2000-02,A11,L2000-02,F07,320.39,328543-09-5,PARP,AG14361 is a potent inhibitor of PARP1 with Ki of <5 nM. It is at least 1000-fold more potent than the benzamides.,DNA Damage
S1379,UCD-0159296,Isotretinoin,L2000-02,B02,L2000-02,F08,300.44,4759-48-2,Hydroxylase,"It was developed to be used as a chemotherapy medication for the treatment of brain cancer, pancreatic cancer and more.",Metabolism
S1462,UCD-0159302,AZD6482,L2000-02,B03,L2000-02,F09,408.45,1173900-33-8,PI3K,"AZD6482 is a PI3Kβ inhibitor with IC50 of 10 nM, 8-, 87- and 109-fold more selective to PI3Kβ than PI3Kδ, PI3Kα and PI3Kγ. Phase 1.",PI3K/Akt/mTOR
S1532,UCD-0001793,AZD7762,L2000-02,B04,L2000-02,F10,362.42,860352-01-8,Chk,"AZD7762 is a potent and selective inhibitor of Chk1 with IC50 of 5 nM. It is equally potent against Chk2 and less potent against CAM, Yes, Fyn, Lyn, Hck and Lck. Phase 1.",Cell Cycle
S1550,UCD-0000757,Pimobendan,L2000-02,B05,L2000-02,F11,334.37,74150-27-9,PDE,Pimobendan is a selective inhibitor of PDE3 with IC50 of 0.32 μM.,Metabolism
S1594,UCD-0159316,Semagacestat (LY450139),L2000-02,B06,L2000-02,G02,361.44,425386-60-3,Gamma-secretase,"Semagacestat (LY450139) is a γ-secretase blocker for Aβ42, Aβ40 and Aβ38 with IC50 of 10.9 nM, 12.1 nM and 12.0 nM, also inhibits Notch signaling with IC50 of 14.1 nM. Phase 3.",Proteases
S1905,UCD-0000878,Amlodipine ,L2000-02,B07,L2000-02,G03,408.88,88150-42-9,Calcium Channel,Amlodipine(Norvasc) is a long-acting calcium channel blocker with an IC50 of 1.9 nM.,Transmembrane Transporters
S2018,UCD-0159318,ENMD-2076 L-(+)-Tartaric acid ,L2000-02,B08,L2000-02,G04,525.56,1291074-87-7,"Aurora Kinase,FLT3,VEGFR","ENMD-2076 L-(+)-Tartaric acid is the tartaric acid of ENMD-2076, selective activity against Aurora A and Flt3 with IC50 of 14 nM and 1.86 nM, 25-fold more selective for Aurora A than Aurora B and less potent to VEGFR2/KDR and VEGFR3, FGFR1 and FGFR2 and PDGFRα. Phase 2.",Angiogenesis
S2067,UCD-0001616B,Ozagrel HCl,L2000-02,B09,L2000-02,G05,264.71,78712-43-3,P450 (e.g. CYP17),"Ozagrel HCl is a selective thromboxane A2 synthetase enzyme inhibitors with IC50 of 11 nM, used as antiasthmatic agent.",Others
S2126,UCD-0001463,Naftopidil ,L2000-02,B10,L2000-02,G06,392.49,57149-07-2,Adrenergic Receptor,Naftopidil (Flivas) is a selective α1-adrenergic receptor antagonist or alpha blocker with a Ki of 58.3 nM.,Neuronal Signaling
