treatment_name,target_cluster,treated_cluster,off_kl_divergence,on_kl_divergence,combined_score
UCD-0001804,1,1,0.011305777748547664,0.010023496337439592,0.010664637042993627
UCD-0001808,3,0,0.013203104327623803,0.00885456787880159,0.011028836103212696
UCD-0001808,0,0,0.0079810463324261,0.0036523931284672636,0.005816719730446682
UCD-0001808,2,0,0.01496397476093125,0.006734641325016066,0.010849308042973658
UCD-0001808,1,0,0.016368262440360437,0.00856649671117614,0.012467379575768288
UCD-0001810,3,0,0.00902134496186954,0.01036137248128029,0.009691358721574915
UCD-0001810,3,1,0.012732627185654826,0.012421457721590829,0.012577042453622827
UCD-0001810,0,0,0.006587940483923807,0.007174702702860993,0.0068813215933924005
UCD-0001810,0,1,0.01052673130018899,0.0058025346950393,0.008164632997614146
UCD-0001810,2,0,0.00935431367582333,0.008885536495718795,0.009119925085771063
UCD-0001810,2,1,0.015247258646673067,0.011077814439459903,0.013162536543066485
UCD-0001810,1,0,0.009489543331135615,0.00947817111997962,0.009483857225557618
UCD-0001810,1,1,0.01670235903307184,0.014041042507490166,0.015371700770281004
UCD-0001829,3,0,0.018030339189505834,0.02159786110513588,0.019814100147320858
UCD-0001829,3,1,0.006177176490659093,0.007101745720824231,0.006639461105741661
UCD-0001829,3,2,0.03977702020905308,0.019530669569893362,0.02965384488947322
UCD-0001829,0,0,0.012423863525014327,0.013712746960533564,0.013068305242773946
UCD-0001829,0,1,0.005806762347320971,0.00445660227545548,0.005131682311388225
UCD-0001829,0,2,0.012675993631523687,0.0033791208661505616,0.008027557248837124
UCD-0001829,2,0,0.020090345951970748,0.018293304946925475,0.019191825449448113
UCD-0001829,2,1,0.008390840239320857,0.007436317658430713,0.007913578948875784
UCD-0001829,2,2,0.029226933981712392,0.009839865742351074,0.019533399862031734
UCD-0001829,1,0,0.01993842269853116,0.019675665077367184,0.019807043887949172
UCD-0001829,1,1,0.007966759042954824,0.008489406583782607,0.008228082813368716
UCD-0001829,1,2,0.014207823024195673,0.00626190129443606,0.010234862159315867
UCD-0001835,3,0,0.0017288724561459118,0.0008520020302728634,0.0012904372432093877
UCD-0001835,3,2,0.00726751802679321,0.005961862615445554,0.006614690321119382
UCD-0001835,3,1,0.01624222104949123,0.017134273179356865,0.01668824711442405
UCD-0001835,0,0,0.001999180602846343,0.0004395340254950542,0.0012193573141706985
UCD-0001835,0,2,0.006147739163802417,0.0035587598010436137,0.004853249482423015
UCD-0001835,0,1,0.013516184600601697,0.012091731873570294,0.012803958237085996
UCD-0001835,2,0,0.0013138358628497124,0.00028058331503077896,0.0007972095889402456
UCD-0001835,2,2,0.008797961489033576,0.0062334250565208495,0.007515693272777213
UCD-0001835,2,1,0.018362691100177148,0.015137016606984197,0.016749853853580673
UCD-0001835,1,0,0.0013065678363055541,0.0003852768575338146,0.0008459223469196844
UCD-0001835,1,2,0.008922696537828474,0.0073381288569192875,0.008130412697373881
UCD-0001835,1,1,0.017895871048971498,0.016787582539733566,0.01734172679435253
UCD-0001842,3,1,0.03214958027574033,0.018531502829091964,0.02534054155241615
UCD-0001842,3,0,0.034946742725268536,0.025539783576186574,0.030243263150727555
UCD-0001842,3,3,0.026798416393858458,0.013968935529456186,0.02038367596165732
UCD-0001842,3,2,0.005018499140913558,0.005037632903640099,0.005028066022276828
UCD-0001842,3,4,0.028283064713900387,0.02269174535129242,0.025487405032596402
UCD-0001842,0,1,0.010219400022579865,0.0018823831896194756,0.0060508916060996705
UCD-0001842,0,0,0.012763604613200231,0.0054373748185639215,0.009100489715882076
UCD-0001842,0,3,0.012131054125220881,0.004602072791976043,0.008366563458598462
UCD-0001842,0,2,0.004380446793648032,0.00310688628920522,0.0037436665414266263
UCD-0001842,0,4,0.011682645315448329,0.00445533509695291,0.008068990206200619
UCD-0001842,2,1,0.02012824684523528,0.007368115532893348,0.013748181189064314
UCD-0001842,2,0,0.0280300383272549,0.008298837482508887,0.018164437904881894
UCD-0001842,2,3,0.011214373955286,0.004370379845999282,0.0077923769006426405
UCD-0001842,2,2,0.005876814911928091,0.005605043010233712,0.005740928961080902
UCD-0001842,2,4,0.022908912764774806,0.0068179045585838255,0.014863408661679315
UCD-0001842,1,1,0.016150535328206168,0.007135588739213525,0.011643062033709847
UCD-0001842,1,0,0.008578741077485425,0.0038511868367201102,0.006214963957102767
UCD-0001842,1,3,0.011723174385508269,0.004332173876047675,0.008027674130777972
UCD-0001842,1,2,0.006254700906564554,0.006657224269344541,0.006455962587954547
UCD-0001842,1,4,0.007835441657267973,0.003227536757934305,0.005531489207601139
UCD-0001844,3,0,0.003037074924689118,0.002002405471071126,0.0025197401978801224
UCD-0001844,0,0,0.002585975373705229,0.0007646105705318112,0.0016752929721185201
UCD-0001844,2,0,0.0032794646976959684,0.0011845568590202146,0.0022320107783580915
UCD-0001844,1,0,0.0025628608273218843,0.001390913599094934,0.0019768872132084093
UCD-0001915,3,2,0.00810980414699661,0.005284058429880999,0.006696931288438804
UCD-0001915,3,0,0.011183588497739667,0.012628910615614315,0.01190624955667699
UCD-0001915,3,1,0.023867686936939685,0.022616828080525044,0.023242257508732364
UCD-0001915,0,2,0.0044971929798974224,0.0014167637497746368,0.0029569783648360297
UCD-0001915,0,0,0.0054897314600798365,0.001616579663473755,0.0035531555617767958
UCD-0001915,0,1,0.012850234048326874,0.010187305427740503,0.011518769738033688
UCD-0001915,2,2,0.00689955467423828,0.0017725454548752914,0.004336050064556786
UCD-0001915,2,0,0.01548086393355699,0.008784771006607628,0.012132817470082309
UCD-0001915,2,1,0.0283018326633005,0.01843666462630884,0.02336924864480467
UCD-0001915,1,2,0.005050395409553645,0.0017278467634896755,0.0033891210865216606
UCD-0001915,1,0,0.016813910393233808,0.013229271455343153,0.01502159092428848
UCD-0001915,1,1,0.027326034153251393,0.022336298000430594,0.024831166076840994
UCD-0001921,3,0,0.0033605148917115533,0.0017895764232806882,0.0025750456574961207
UCD-0001921,0,0,0.003754197374506253,0.0004711657010592128,0.002112681537782733
UCD-0001921,2,0,0.0029969739493332396,0.0005068130112546171,0.0017518934802939284
UCD-0001921,1,0,0.002707884010600081,0.0007004210734818616,0.0017041525420409711
UCD-0017999,3,1,0.03664639687332736,0.019672881361149006,0.028159639117238185
UCD-0017999,3,0,0.00883496084664954,0.009766431833348495,0.009300696339999017
UCD-0017999,3,3,0.03764998567967051,0.02371650359210189,0.030683244635886203
UCD-0017999,3,2,0.0342911747409343,0.02052586246390928,0.027408518602421793
UCD-0017999,0,1,0.010861918612355203,0.0023621910099919643,0.006612054811173584
UCD-0017999,0,0,0.0075472539559352245,0.00535454283335832,0.006450898394646772
UCD-0017999,0,3,0.010262689741835394,0.0032746372621364965,0.006768663501985945
UCD-0017999,0,2,0.012880572802065511,0.003913026777655886,0.008396799789860698
UCD-0017999,2,1,0.028595365247355696,0.008627175425553184,0.01861127033645444
UCD-0017999,2,0,0.010297423594576178,0.009327271754867347,0.009812347674721764
UCD-0017999,2,3,0.023540353590181893,0.009521913892690234,0.016531133741436062
UCD-0017999,2,2,0.032991822734887676,0.018646351627671306,0.02581908718127949
UCD-0017999,1,1,0.012556984740080738,0.004483376094085422,0.00852018041708308
UCD-0017999,1,0,0.010401373180699294,0.009936492851747837,0.010168933016223566
UCD-0017999,1,3,0.010099698475165137,0.003156844276058427,0.006628271375611782
UCD-0017999,1,2,0.012324543504716479,0.006575602955130152,0.009450073229923316
UCD-0018131,3,0,0.004612750565203876,0.0034177438494088037,0.00401524720730634
UCD-0018131,3,1,0.006926479404824163,0.007462659485121779,0.007194569444972971
UCD-0018131,3,3,0.020746602242959693,0.02302077898713492,0.02188369061504731
UCD-0018131,3,2,0.01810636481028732,0.01091786327351438,0.01451211404190085
UCD-0018131,3,4,0.0225620051938817,0.010977620126268087,0.016769812660074893
UCD-0018131,0,0,0.0044227180867282305,0.0016355929351060416,0.0030291555109171362
UCD-0018131,0,1,0.005095143609492323,0.003612165819927028,0.004353654714709675
UCD-0018131,0,3,0.010740055882797897,0.009955119508743721,0.010347587695770809
UCD-0018131,0,2,0.011068758107225237,0.0036513603411251734,0.007360059224175205
UCD-0018131,0,4,0.012489759917529318,0.003930660544409129,0.008210210230969224
UCD-0018131,2,0,0.002637865804294456,0.0010459797592010122,0.0018419227817477342
UCD-0018131,2,1,0.008794165628069828,0.006823035992547853,0.007808600810308841
UCD-0018131,2,3,0.022543407697576238,0.0169296219403803,0.01973651481897827
UCD-0018131,2,2,0.01847404703285503,0.006463864949074977,0.012468955990965005
UCD-0018131,2,4,0.014839080653528281,0.004509561882796188,0.009674321268162235
UCD-0018131,1,0,0.0024354953788530706,0.000943014306665,0.0016892548427590354
UCD-0018131,1,1,0.008715854368157777,0.008255260145586894,0.008485557256872335
UCD-0018131,1,3,0.02247219687249079,0.018775870105729175,0.02062403348910998
UCD-0018131,1,2,0.015627817294818908,0.007116993135895245,0.011372405215357076
UCD-0018131,1,4,0.015064209831824769,0.004443046107703278,0.009753627969764023
